cod_id,path,formula,n_sites,n_species,volume,density,a,b,c,alpha,beta,gamma
1000365,data/raw/cif/1/00/03/1000365.cif,Li3ThF7,48,3,499.8343183636479,5.127449484148792,6.2096,6.2096,12.9628,90.0,90.0,90.0
1000305,data/raw/cif/1/00/03/1000305.cif,NaSrCrF6,36,4,495.2299701030896,3.70978309930392,5.5676,9.2937,9.5858,90.0,93.201,90.0
1000367,data/raw/cif/1/00/03/1000367.cif,Li3ThF7,48,3,505.17775456395304,5.073214714424053,6.2301,6.2301,13.0153,90.0,90.0,90.0
1000306,data/raw/cif/1/00/03/1000306.cif,NaSrFeF6,36,4,522.488879862757,3.5651682560899403,5.4053,9.3103,10.3823,90.0,90.0,90.0
1000368,data/raw/cif/1/00/03/1000368.cif,Li3ThF7,48,3,509.80298540729905,5.027187543450694,6.24774,6.24774,13.0604,90.0,90.0,90.0
1000307,data/raw/cif/1/00/03/1000307.cif,LaNiO3,30,3,337.4315705127685,7.251666392582217,5.4535,5.4535,13.101,90.0,90.0,119.99999999999999
1000379,data/raw/cif/1/00/03/1000379.cif,CaTl2O4,28,3,384.09371361899997,8.86861179025304,3.3255,11.022,10.479,90.0,90.0,90.0
1000308,data/raw/cif/1/00/03/1000308.cif,LaNiO3,30,3,337.441872980382,7.251444991315403,5.4535,5.4535,13.1014,90.0,90.0,119.99999999999999
1000380,data/raw/cif/1/00/03/1000380.cif,Ca7.52Tl8.48O20,36,3,503.5890084971001,7.763898343826875,3.3431,11.159,13.499,90.0,90.0,90.0
1000309,data/raw/cif/1/00/03/1000309.cif,LaNiO3,30,3,337.57788247979937,7.248523397649147,5.4536,5.4536,13.1062,90.0,90.0,119.99999999999999
1000381,data/raw/cif/1/00/03/1000381.cif,Nb16Tl16O48.56,104,4,1219.179044360789,7.536794657725574,10.6829,10.6829,10.6829,90.0,90.0,90.0
1000310,data/raw/cif/1/00/03/1000310.cif,LaNiO3,30,3,339.06778093698796,7.216672645574712,5.4573,5.4573,13.1462,90.0,90.0,119.99999999999999
1000382,data/raw/cif/1/00/03/1000382.cif,Nb16Tl16O50.168,104,4,1205.161579266632,7.659904708415922,10.6418,10.6418,10.6418,90.0,90.0,90.0
1000311,data/raw/cif/1/00/03/1000311.cif,PrNiO3,20,3,222.25325595527997,7.399634732784623,5.4155,5.3884,7.6164,90.0,90.0,90.0
1000383,data/raw/cif/1/00/03/1000383.cif,Nb16Tl16O51.44,104,4,1204.5161814391993,7.69206509800746,10.6399,10.6399,10.6399,90.0,90.0,90.0
1000312,data/raw/cif/1/00/03/1000312.cif,PrNiO3,20,3,222.11565416914797,7.4042188444257615,5.4133,5.3828,7.6227,90.0,90.0,90.0
1000384,data/raw/cif/1/00/03/1000384.cif,Nb16Tl16O51.92,104,4,1204.4482582327728,7.703086685235317,10.6397,10.6397,10.6397,90.0,90.0,90.0
1000313,data/raw/cif/1/00/03/1000313.cif,PrNiO3,20,3,221.587470333435,7.421867805821558,5.4115,5.3763,7.6163,90.0,90.0,90.0
1000385,data/raw/cif/1/00/03/1000385.cif,Nb16Tl16O52.704,88,4,1203.5315448530002,7.726260605114802,10.637,10.637,10.637,90.0,90.0,90.0
1000314,data/raw/cif/1/00/03/1000314.cif,PrNiO3,20,3,222.35526975495895,7.39623987348509,5.4193,5.3801,7.6263,90.0,90.0,90.0
1000386,data/raw/cif/1/00/03/1000386.cif,Nb16Tl16O53.184,88,4,1201.5977888062969,7.749307555796288,10.6313,10.6313,10.6313,90.0,90.0,90.0
1000315,data/raw/cif/1/00/03/1000315.cif,NdNiO3,20,3,220.51643421862397,7.55834907237135,5.3824,5.3861,7.6066,90.0,90.0,90.0
