cod_id,path,formula,n_sites,n_species,volume,density,a,b,c,alpha,beta,gamma,mp_id,mp_e_form_per_atom,mp_e_above_hull,oqmd_best_id,oqmd_delta_e,oqmd_stability
1000325,data/raw/cif/1/00/03/1000325.cif,K2FeF5,64,3,969.458209059858,3.1384067010611147,7.3591,23.0897,5.7054,90.0,90.0,90.0,mp-1205367,-2.90476089446875,0.0,,,
1000397,data/raw/cif/1/00/03/1000397.cif,Ba5Cu4ClF17,81,4,1276.7996851827677,5.069190255593575,10.731,10.731,12.803,90.0,90.0,120.0,mp-559141,-3.08755935462963,0.0,,,
1000326,data/raw/cif/1/00/03/1000326.cif,Li4ZnIn2F12,40,4,423.2667319339201,4.321662802311241,4.7496,17.606,5.0617,90.0,90.0,90.0,mp-1222552,-2.92274580377193,0.006018624210524,,,
1000398,data/raw/cif/1/00/03/1000398.cif,Na2Sr7Al6F34,98,4,1238.2211372003417,3.935108615513583,16.07199,10.822,7.258,90.0,101.23,90.0,mp-555865,-3.9737082610767063,0.001179375102037,,,
1000327,data/raw/cif/1/00/03/1000327.cif,TaBi(P2O7)2,40,4,562.1284102770001,4.359041426042385,8.253,8.253,8.253,90.0,90.0,90.0,mp-1218131,-2.705841241545221,0.0,,,
1000399,data/raw/cif/1/00/03/1000399.cif,Ba7Ga6(O9F8)2,94,4,1426.3973495348237,4.590450627663754,16.90799,11.406,7.542,90.0,101.28,90.0,,,,,,
1000328,data/raw/cif/1/00/03/1000328.cif,Ta3.596P7.608O28,40,3,533.214439029,4.15534649899839,8.109,8.109,8.109,90.0,90.0,90.0,,,,,,
1000329,data/raw/cif/1/00/03/1000329.cif,Ba3AlF9,52,3,833.5883284800001,4.860158077456368,10.063,5.567,14.88,90.0,90.0,90.0,mp-556863,-4.097918263846154,0.005861223750003,,,
1000330,data/raw/cif/1/00/03/1000330.cif,Ba2YC2(O2F)3,56,5,776.579752836,4.623568150910428,9.458,6.966,11.787,90.0,90.0,90.0,mp-8985,-3.195229471071428,0.0,,,
1000331,data/raw/cif/1/00/03/1000331.cif,Ba2GdC2(O2F)3,56,5,787.552654896,5.1355574913489885,9.513,6.978,11.864,90.0,90.0,90.0,mp-8986,-3.189398846071429,0.0,,,
